Organism,Phylum,Category,GC_Content_pct,Genome_Size_Mb,Class,Subclass,Count,Density_per_Mb
Buchnera aphidicola,Proteobacteria,Obligate endosymbiont,18.3,0.45,Curved_DNA,Local Curvature,4489,9929.7
Buchnera aphidicola,Proteobacteria,Obligate endosymbiont,18.3,0.45,G-Quadruplex,Two-tetrad weak PQS,35,77.42
Buchnera aphidicola,Proteobacteria,Obligate endosymbiont,18.3,0.45,Curved_DNA,Global Curvature,133,294.2
Buchnera aphidicola,Proteobacteria,Obligate endosymbiont,18.3,0.45,Hybrid,Curved_DNA_Slipped_DNA_Overlap,9,19.91
Buchnera aphidicola,Proteobacteria,Obligate endosymbiont,18.3,0.45,Hybrid,Slipped_DNA_Curved_DNA_Overlap,7,15.48
Buchnera aphidicola,Proteobacteria,Obligate endosymbiont,18.3,0.45,Slipped_DNA,Direct Repeat,64,141.57
Buchnera aphidicola,Proteobacteria,Obligate endosymbiont,18.3,0.45,Triplex,Triplex,88,194.66
Buchnera aphidicola,Proteobacteria,Obligate endosymbiont,18.3,0.45,Slipped_DNA,STR,4,8.85
Buchnera aphidicola,Proteobacteria,Obligate endosymbiont,18.3,0.45,Non-B_DNA_Clusters,Mixed_Cluster_3_classes,20,44.24
Buchnera aphidicola,Proteobacteria,Obligate endosymbiont,18.3,0.45,Cruciform,Cruciform forming IRs,10,22.12
Buchnera aphidicola,Proteobacteria,Obligate endosymbiont,18.3,0.45,A-philic_DNA,A-philic DNA,1,2.21
Buchnera aphidicola,Proteobacteria,Obligate endosymbiont,18.3,0.45,Triplex,Sticky DNA,1,2.21
Buchnera aphidicola,Proteobacteria,Obligate endosymbiont,18.3,0.45,Hybrid,Curved_DNA_Cruciform_Overlap,1,2.21
Buchnera aphidicola,Proteobacteria,Obligate endosymbiont,18.3,0.45,Non-B_DNA_Clusters,Mixed_Cluster_4_classes,1,2.21
Buchnera aphidicola,Proteobacteria,Obligate endosymbiont,18.3,0.45,R-Loop,R-loop formation sites,1,2.21
Buchnera aphidicola,Proteobacteria,Obligate endosymbiont,18.3,0.45,Hybrid,Triplex_Slipped_DNA_Overlap,1,2.21
Candidatus Carsonella ruddii,Proteobacteria,Obligate endosymbiont,17.6,0.17,Curved_DNA,Local Curvature,1706,9803.81
Candidatus Carsonella ruddii,Proteobacteria,Obligate endosymbiont,17.6,0.17,Curved_DNA,Global Curvature,65,373.53
Candidatus Carsonella ruddii,Proteobacteria,Obligate endosymbiont,17.6,0.17,Triplex,Triplex,19,109.19
Candidatus Carsonella ruddii,Proteobacteria,Obligate endosymbiont,17.6,0.17,G-Quadruplex,Two-tetrad weak PQS,13,74.71
Candidatus Carsonella ruddii,Proteobacteria,Obligate endosymbiont,17.6,0.17,Non-B_DNA_Clusters,Mixed_Cluster_3_classes,4,22.99
Candidatus Carsonella ruddii,Proteobacteria,Obligate endosymbiont,17.6,0.17,Slipped_DNA,Direct Repeat,10,57.47
Candidatus Carsonella ruddii,Proteobacteria,Obligate endosymbiont,17.6,0.17,G-Quadruplex,Intramolecular G-triplex,1,5.75
Candidatus Carsonella ruddii,Proteobacteria,Obligate endosymbiont,17.6,0.17,R-Loop,R-loop formation sites,2,11.49
Candidatus Carsonella ruddii,Proteobacteria,Obligate endosymbiont,17.6,0.17,Cruciform,Cruciform forming IRs,4,22.99
Candidatus Carsonella ruddii,Proteobacteria,Obligate endosymbiont,17.6,0.17,Hybrid,Slipped_DNA_Curved_DNA_Overlap,2,11.49
Candidatus Carsonella ruddii,Proteobacteria,Obligate endosymbiont,17.6,0.17,Slipped_DNA,STR,1,5.75
Candidatus Carsonella ruddii,Proteobacteria,Obligate endosymbiont,17.6,0.17,Hybrid,Curved_DNA_Slipped_DNA_Overlap,1,5.75
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,G-Quadruplex,Two-tetrad weak PQS,22675,5800.17
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,R-Loop,R-loop formation sites,1786,456.85
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Z-DNA,Z-DNA,8558,2189.1
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,G-Quadruplex,Intramolecular G-triplex,861,220.24
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,A-philic_DNA,A-philic DNA,1524,389.83
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Non-B_DNA_Clusters,Mixed_Cluster_3_classes,1791,458.13
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,i-Motif,Canonical i-motif,484,123.81
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,G-Quadruplex,Extended-loop canonical,883,225.87
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Hybrid,G-Quadruplex_R-Loop_Overlap,202,51.67
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Hybrid,A-philic_DNA_G-Quadruplex_Overlap,138,35.3
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Triplex,Triplex,5,1.28
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Hybrid,R-Loop_i-Motif_Overlap,13,3.33
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Non-B_DNA_Clusters,Mixed_Cluster_4_classes,434,111.02
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,G-Quadruplex,Canonical intramolecular G4,154,39.39
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Slipped_DNA,Direct Repeat,299,76.48
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Cruciform,Cruciform forming IRs,24,6.14
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Hybrid,G-Quadruplex_A-philic_DNA_Overlap,104,26.6
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Hybrid,Slipped_DNA_G-Quadruplex_Overlap,40,10.23
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Hybrid,R-Loop_G-Quadruplex_Overlap,74,18.93
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Hybrid,Z-DNA_G-Quadruplex_Overlap,77,19.7
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Hybrid,G-Quadruplex_Slipped_DNA_Overlap,45,11.51
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Slipped_DNA,STR,36,9.21
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Z-DNA,eGZ,188,48.09
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Hybrid,Slipped_DNA_i-Motif_Overlap,12,3.07
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Hybrid,Z-DNA_R-Loop_Overlap,17,4.35
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,G-Quadruplex,Higher-order G4 array/G4-wire,20,5.12
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Non-B_DNA_Clusters,Mixed_Cluster_5_classes,42,10.74
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Hybrid,i-Motif_G-Quadruplex_Overlap,10,2.56
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Hybrid,Slipped_DNA_Z-DNA_Overlap,2,0.51
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Hybrid,A-philic_DNA_R-Loop_Overlap,17,4.35
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Hybrid,Slipped_DNA_R-Loop_Overlap,2,0.51
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Hybrid,G-Quadruplex_i-Motif_Overlap,12,3.07
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Hybrid,i-Motif_A-philic_DNA_Overlap,9,2.3
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,G-Quadruplex,Stacked G4s with linker,16,4.09
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Hybrid,R-Loop_Z-DNA_Overlap,11,2.81
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Hybrid,G-Quadruplex_Z-DNA_Overlap,79,20.21
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Hybrid,i-Motif_Slipped_DNA_Overlap,7,1.79
Cellulomonas shaoxiangyii,Actinobacteria,Free-living,75.3,3.91,Hybrid,R-Loop_A-philic_DNA_Overlap,24,6.14
