Organism,Phylum,GC_Content_pct,Genome_Size_Mb,Total_iMotif,Canonical_i_motif,Canonical_i_motif_per_Mb,Relaxed_i_motif,Relaxed_i_motif_per_Mb,AC_motif,AC_motif_per_Mb
Buchnera aphidicola,Proteobacteria,18.3,0.45,0,0,0.0,0,0.0,0,0.0
Candidatus Carsonella ruddii,Proteobacteria,17.6,0.17,0,0,0.0,0,0.0,0,0.0
Cellulomonas shaoxiangyii,Actinobacteria,75.3,3.91,485,484,123.81,0,0.0,1,0.26
Miltoncostaea marina,Actinobacteria,76.2,3.37,400,398,118.09,0,0.0,2,0.59
Streptococcus pneumoniae,Firmicutes,39.7,2.11,1,1,0.47,0,0.0,0,0.0
Escherichia coli,Proteobacteria,50.8,4.64,26,24,5.17,0,0.0,2,0.43
Mycobacterium tuberculosis,Actinobacteria,65.6,4.41,231,229,51.91,0,0.0,2,0.45
Staphylococcus aureus,Firmicutes,32.9,2.82,0,0,0.0,0,0.0,0,0.0
