Organism,Phylum,GC_Content_pct,Genome_Size_Mb,Total_G4,Telomeric_G4,Telomeric_G4_per_Mb,Stacked_canonical_G4s,Stacked_canonical_G4s_per_Mb,Stacked_G4s_with_linker,Stacked_G4s_with_linker_per_Mb,Canonical_intramolecular_G4,Canonical_intramolecular_G4_per_Mb,Extended_loop_canonical,Extended_loop_canonical_per_Mb,Higher_order_G4_array_G4_wire,Higher_order_G4_array_G4_wire_per_Mb,Intramolecular_G_triplex,Intramolecular_G_triplex_per_Mb,Two_tetrad_weak_PQS,Two_tetrad_weak_PQS_per_Mb
Buchnera aphidicola,Proteobacteria,18.3,0.45,35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,35,77.42
Candidatus Carsonella ruddii,Proteobacteria,17.6,0.17,14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.75,13,74.71
Cellulomonas shaoxiangyii,Actinobacteria,75.3,3.91,24609,0,0.0,0,0.0,16,4.09,154,39.39,883,225.87,20,5.12,861,220.24,22675,5800.17
Miltoncostaea marina,Actinobacteria,76.2,3.37,25621,0,0.0,0,0.0,5,1.48,130,38.57,705,209.18,15,4.45,807,239.45,23959,7108.92
Streptococcus pneumoniae,Firmicutes,39.7,2.11,1174,0,0.0,0,0.0,0,0.0,0,0.0,3,1.42,0,0.0,13,6.16,1158,548.56
Escherichia coli,Proteobacteria,50.8,4.64,6553,0,0.0,0,0.0,0,0.0,20,4.31,21,4.52,0,0.0,123,26.5,6389,1376.45
Mycobacterium tuberculosis,Actinobacteria,65.6,4.41,21315,0,0.0,0,0.0,2,0.45,90,20.4,343,77.75,4,0.91,484,109.71,20392,4622.43
Staphylococcus aureus,Firmicutes,32.9,2.82,518,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.71,516,182.89
