Organism,GC_Content_pct,Genome_Size_Mb,A_philic_DNA_A_philic_DNA,Cruciform_Cruciform_forming_IRs,Curved_DNA_Global_Curvature,Curved_DNA_Local_Curvature,G_Quadruplex_Canonical_intramolecular_G4,G_Quadruplex_Extended_loop_canonical,G_Quadruplex_Higher_order_G4_array_G4_wire,G_Quadruplex_Intramolecular_G_triplex,G_Quadruplex_Stacked_G4s_with_linker,G_Quadruplex_Two_tetrad_weak_PQS,Hybrid_A_philic_DNA_Cruciform_Overlap,Hybrid_A_philic_DNA_G_Quadruplex_Overlap,Hybrid_A_philic_DNA_R_Loop_Overlap,Hybrid_A_philic_DNA_Slipped_DNA_Overlap,Hybrid_A_philic_DNA_i_Motif_Overlap,Hybrid_Cruciform_A_philic_DNA_Overlap,Hybrid_Cruciform_G_Quadruplex_Overlap,Hybrid_Cruciform_Slipped_DNA_Overlap,Hybrid_Cruciform_Z_DNA_Overlap,Hybrid_Curved_DNA_Cruciform_Overlap,Hybrid_Curved_DNA_G_Quadruplex_Overlap,Hybrid_Curved_DNA_R_Loop_Overlap,Hybrid_Curved_DNA_Slipped_DNA_Overlap,Hybrid_G_Quadruplex_A_philic_DNA_Overlap,Hybrid_G_Quadruplex_Cruciform_Overlap,Hybrid_G_Quadruplex_Curved_DNA_Overlap,Hybrid_G_Quadruplex_R_Loop_Overlap,Hybrid_G_Quadruplex_Slipped_DNA_Overlap,Hybrid_G_Quadruplex_Triplex_Overlap,Hybrid_G_Quadruplex_Z_DNA_Overlap,Hybrid_G_Quadruplex_i_Motif_Overlap,Hybrid_R_Loop_A_philic_DNA_Overlap,Hybrid_R_Loop_Cruciform_Overlap,Hybrid_R_Loop_Curved_DNA_Overlap,Hybrid_R_Loop_G_Quadruplex_Overlap,Hybrid_R_Loop_Slipped_DNA_Overlap,Hybrid_R_Loop_Triplex_Overlap,Hybrid_R_Loop_Z_DNA_Overlap,Hybrid_R_Loop_i_Motif_Overlap,Hybrid_Slipped_DNA_A_philic_DNA_Overlap,Hybrid_Slipped_DNA_Curved_DNA_Overlap,Hybrid_Slipped_DNA_G_Quadruplex_Overlap,Hybrid_Slipped_DNA_R_Loop_Overlap,Hybrid_Slipped_DNA_Triplex_Overlap,Hybrid_Slipped_DNA_Z_DNA_Overlap,Hybrid_Slipped_DNA_i_Motif_Overlap,Hybrid_Triplex_A_philic_DNA_Overlap,Hybrid_Triplex_Curved_DNA_Overlap,Hybrid_Triplex_G_Quadruplex_Overlap,Hybrid_Triplex_R_Loop_Overlap,Hybrid_Triplex_Slipped_DNA_Overlap,Hybrid_Triplex_i_Motif_Overlap,Hybrid_Z_DNA_Cruciform_Overlap,Hybrid_Z_DNA_G_Quadruplex_Overlap,Hybrid_Z_DNA_R_Loop_Overlap,Hybrid_Z_DNA_Slipped_DNA_Overlap,Hybrid_i_Motif_A_philic_DNA_Overlap,Hybrid_i_Motif_G_Quadruplex_Overlap,Hybrid_i_Motif_R_Loop_Overlap,Hybrid_i_Motif_Slipped_DNA_Overlap,Non_B_DNA_Clusters_Mixed_Cluster_3_classes,Non_B_DNA_Clusters_Mixed_Cluster_4_classes,Non_B_DNA_Clusters_Mixed_Cluster_5_classes,Non_B_DNA_Clusters_Mixed_Cluster_6_classes,R_Loop_R_loop_formation_sites,Slipped_DNA_Direct_Repeat,Slipped_DNA_STR,Triplex_Sticky_DNA,Triplex_Triplex,Z_DNA_Z_DNA,Z_DNA_eGZ,i_Motif_AC_motif,i_Motif_Canonical_i_motif
Buchnera aphidicola,18.3,0.45,1,10,133,4489,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,1,0,0,1,64,4,1,88,0,0,0,0
Candidatus Carsonella ruddii,17.6,0.17,0,4,65,1706,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,10,1,0,19,0,0,0,0
Cellulomonas shaoxiangyii,75.3,3.91,1524,24,0,1,154,883,20,861,16,22675,1,138,17,0,8,1,2,0,1,0,0,0,0,104,2,0,202,45,0,79,12,24,0,0,74,8,0,11,13,0,0,40,2,0,2,12,0,0,0,0,0,1,0,77,17,0,9,10,2,7,1791,434,42,0,1786,299,36,0,5,8558,188,1,484
Miltoncostaea marina,76.2,3.37,1954,23,2,0,130,705,15,807,5,23959,0,194,29,1,9,0,5,1,2,0,0,0,0,189,3,0,189,23,0,131,15,28,0,0,78,2,0,6,8,2,0,16,2,0,1,5,0,0,0,0,0,0,1,119,11,4,17,16,0,7,1867,427,46,2,1549,111,27,1,4,7430,407,2,398
Streptococcus pneumoniae,39.7,2.11,7,3,648,1027,0,3,0,13,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,12,1,0,0,114,39,2,0,158,10,0,0,1
Escherichia coli,50.8,4.64,67,13,591,1171,20,21,0,123,0,6389,0,2,2,0,0,0,0,0,0,0,3,1,0,0,0,5,20,0,1,6,0,3,1,1,16,0,1,2,2,0,0,0,0,1,0,0,1,0,2,1,0,0,0,4,0,0,1,0,2,0,81,16,3,1,786,13,3,3,60,892,8,2,24
Mycobacterium tuberculosis,65.6,4.41,799,7,43,23,90,343,4,484,2,20392,0,49,15,0,2,0,1,0,0,0,2,0,0,55,0,2,158,17,0,18,6,19,0,0,106,4,0,6,3,0,0,28,5,0,0,0,0,0,0,0,0,0,0,27,4,4,3,7,2,4,703,103,2,0,2063,125,60,1,3,2243,143,2,229
Staphylococcus aureus,32.9,2.82,68,2,968,1354,0,0,0,2,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,41,46,0,4,58,7,0,0,0
