Organism,Phylum,GC_Content_pct,Genome_Size_Mb,Total_Curved_DNA,Global_Curvature,Global_Curvature_per_Mb,Local_Curvature,Local_Curvature_per_Mb
Buchnera aphidicola,Proteobacteria,18.3,0.45,4622,133,294.2,4489,9929.7
Candidatus Carsonella ruddii,Proteobacteria,17.6,0.17,1771,65,373.53,1706,9803.81
Cellulomonas shaoxiangyii,Actinobacteria,75.3,3.91,1,0,0.0,1,0.26
Miltoncostaea marina,Actinobacteria,76.2,3.37,2,2,0.59,0,0.0
Streptococcus pneumoniae,Firmicutes,39.7,2.11,1675,648,306.97,1027,486.51
Escherichia coli,Proteobacteria,50.8,4.64,1762,591,127.33,1171,252.28
Mycobacterium tuberculosis,Actinobacteria,65.6,4.41,66,43,9.75,23,5.21
Staphylococcus aureus,Firmicutes,32.9,2.82,2322,968,343.1,1354,479.91
