NM_ID,Gene,Disease,Disease_Category,Motif_Class,Subclass,Start,End,Length,Score
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,R-Loop,R-loop formation sites,44,453,410,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Non-B_DNA_Clusters,Mixed_Cluster_4_classes,44,453,409,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Z-DNA,eGZ,90,101,12,1.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Slipped_DNA,STR,180,203,24,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Non-B_DNA_Clusters,Mixed_Cluster_3_classes,180,385,205,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Z-DNA,eGZ,181,201,21,1.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,182,201,20,1.2
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Extended-loop canonical,292,332,41,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Extended-loop canonical,343,385,43,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,771,794,24,1.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,1355,1378,24,1.15
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,2298,2320,23,1.22
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,2430,2440,11,1.43
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,2724,2743,20,1.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,A-philic_DNA,A-philic DNA,2866,2875,10,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,2884,2907,24,1.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,2909,2929,21,1.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,3007,3025,19,1.27
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Extended-loop canonical,3075,3116,42,1.58
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,3155,3178,24,1.23
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,3183,3201,19,1.21
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,A-philic_DNA,A-philic DNA,3222,3231,10,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Non-B_DNA_Clusters,Mixed_Cluster_3_classes,3222,4707,1485,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Extended-loop canonical,3227,3263,37,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,R-Loop,R-loop formation sites,3248,4707,1460,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,3272,3290,19,1.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,3309,3334,26,1.26
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,G-Quadruplex,Two-tetrad weak PQS,3338,3354,17,1.18
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,i-Motif,Canonical i-motif,3640,3669,30,2.47
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,A-philic_DNA,A-philic DNA,3670,3679,10,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Non-B_DNA_Clusters,Mixed_Cluster_5_classes,3670,3887,217,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,i-Motif,Canonical i-motif,3777,3799,23,3.0
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Non-B_DNA_Clusters,Mixed_Cluster_4_classes,3777,3887,110,2.15
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Curved_DNA,Local Curvature,3852,3858,7,2.03
NM_000068,CACNA1A,"Spinocerebellar ataxia 6, 183086 (3)",Ataxias,Triplex,Triplex,3852,3887,36,1.0
